profile;id;topic;toc;likes;top;followers;Non-Conspiracy post topic;
profile01;profile01-1;conspiracy;no vax;4984;screenshot on image;84.3k;-;
profile01;profile01-2;conspiracy;no mask;1474;text on image ;84.3k;-;
profile01;profile01-3;conspiracy;no vax;4199;screenshot on color;84.3k;-;
profile01;profile01-4;conspiracy;plandemic;9570;screenshot on image ;84.3k;-;
profile01;profile01-5;conspiracy;awakening;3052;text on color;84.3k;-;
profile01;profile01-6;conspiracy;plandemic;4033;text on image;84.3k;-;
profile01;profile01-7;others;-;2289;video;84.3k;informative;
profile01;profile01-8;conspiracy;no vax;3858;screenshot on color ;84.3k;-;
profile01;profile01-9;conspiracy;deep state;3633;text on image ;84.3k;-;
profile01;profile01-10;conspiracy;plandemic;2804;screenshot on image ;84.3k;-;
profile01;profile01-11;conspiracy;plandemic;16829;screenshot on image ;84.3k;-;
profile01;profile01-12;conspiracy;awakening;3240;screenshot on image ;84.3k;-;
profile01;profile01-13;conspiracy;plandemic;4262;screenshot on image;84.3k;-;
profile01;profile01-14;conspiracy;awakening;2182;text on image;84.3k;-;
profile01;profile01-15;others;-;2675;text on image;84.3k;informative;
profile01;profile01-16;others;-;2251;text on image ;84.3k;inspirational;
profile01;profile01-17;others;-;974;text on color;84.3k;informative;
profile01;profile01-18;conspiracy;no mask;7953;screenshot on image ;84.3k;-;
profile01;profile01-19;others;-;3257;text on color ;84.3k;inspirational;
profile01;profile01-20;conspiracy;no vax;5174;screenshot on image;84.3k;-;
profile01;profile01-21;conspiracy;plandemic;4836;screenshot on color ;84.3k;-;
profile01;profile01-22;conspiracy;awakening;2470;screenshot on image ;84.3k;-;
profile01;profile01-23;conspiracy;plandemic;3778;screenshot on image ;84.3k;-;
profile01;profile01-24;conspiracy;plandemic;5624;screenshot on image ;84.3k;-;
profile01;profile01-25;others;-;5785;screenshot on image;84.3k;inspirational;
profile01;profile01-26;conspiracy;qanon;2722;text on color ;84.3k;-;
profile01;profile01-27;conspiracy;qanon;4310;screenshot on color;84.3k;-;
profile01;profile01-28;others;-;427;video;84.3k;informative;
profile01;profile01-29;conspiracy;qanon;6048;screenshot on image;84.3k;-;
profile01;profile01-30;conspiracy;no mask;6477;collage;84.3k;-;
profile02;profile02-1;conspiracy;deep state;5343;text on color;88.5k;-;
profile02;profile02-2;conspiracy;no vax;5008;text on color;88.5k;-;
profile02;profile02-3;others;-;932;foto;88.5k;personal;
profile02;profile02-4;others;-;2762;text on color;88.5k;religious;
profile02;profile02-5;conspiracy;no vax;3892;text on color;88.5k;-;
profile02;profile02-6;conspiracy;awakening;9201;text on color ;88.5k;-;
profile02;profile02-7;others;-;2250;foto;88.5k;inspirational;
profile02;profile02-8;others;-;5027;foto;88.5k;personal;
profile02;profile02-9;others;-;2663;foto;88.5k;personal;
profile02;profile02-10;conspiracy;awakening;2252;text on image;88.5k;-;
profile02;profile02-11;conspiracy;awakening;6784;text on image;88.5k;-;
profile02;profile02-12;others;-;1583;text on decoration;88.5k;patriotic;
profile02;profile02-13;others;-;1544;foto;88.5k;personal;
profile02;profile02-14;conspiracy;no vax;4256;text on decoration;88.5k;-;
profile02;profile02-15;conspiracy;no vax;1864;video;88.5k;-;
profile02;profile02-16;conspiracy;deep state;3008;text on color;88.5k;-;
profile02;profile02-17;conspiracy;awakening;5765;text on decoration;88.5k;-;
profile02;profile02-18;conspiracy;awakening;3441;text on decoration;88.5k;-;
profile02;profile02-19;conspiracy;no vax;876;video;88.5k;-;
profile02;profile02-20;others;-;1267;video;88.5k;lifestyle;
profile02;profile02-21;conspiracy;awakening;4305;text on color;88.5k;-;
profile02;profile02-22;others;-;1884;text on color;88.5k;inspirational;
profile02;profile02-23;others;-;2081;text on decoration;88.5k;religious;
profile02;profile02-24;conspiracy;no vax;4649;text on color;88.5k;-;
profile02;profile02-25;conspiracy;awakening;8771;text on decoration;88.5k;-;
profile02;profile02-26;conspiracy;no mask;2255;text on color;88.5k;-;
profile02;profile02-27;conspiracy;plandemic;2075;video;88.5k;-;
profile02;profile02-28;conspiracy;no vax;4859;text on decoration;88.5k;-;
profile02;profile02-29;conspiracy;no vax;6064;text on decoration ;88.5k;-;
profile02;profile02-30;conspiracy;awakening;4144;text on decoration ;88.5k;-;
profile03;profile03-1;conspiracy;no vax;2424;text on decoration ;17.3k;-;
profile03;profile03-2;others;-;446;text on decoration;17.3k;marketing;
profile03;profile03-3;conspiracy;awakening;2494;text on decoration ;17.3k;-;
profile03;profile03-4;conspiracy;no vax;367;text on image;17.3k;-;
profile03;profile03-5;conspiracy;no vax;1267;text on image;17.3k;-;
profile03;profile03-6;conspiracy;no vax;233;text on image;17.3k;-;
profile03;profile03-7;conspiracy;no vax;553;text on decoration;17.3k;-;
profile03;profile03-8;conspiracy;no vax;2952;text on color ;17.3k;-;
profile03;profile03-9;conspiracy;no vax;1912;text on decoration;17.3k;-;
profile03;profile03-10;conspiracy;awakening;1081;text on decoration;17.3k;-;
profile03;profile03-11;conspiracy;save the children;2735;text on decoration;17.3k;-;
profile03;profile03-12;conspiracy;save the children;580;text on decoration ;17.3k;-;
profile03;profile03-13;conspiracy;save the children;552;text on decoration ;17.3k;-;
profile03;profile03-14;conspiracy;awakening;2367;text on decoration ;17.3k;-;
profile03;profile03-15;others;-;218;text on decoration;17.3k;marketing;
profile03;profile03-16;conspiracy;plandemic;2883;text on color;17.3k;-;
profile03;profile03-17;conspiracy;no vax;892;text on decoration;17.3k;-;
profile03;profile03-18;conspiracy;save the children;1474;text on decoration;17.3k;-;
profile03;profile03-19;others;-;303;text on decoration;17.3k;inspirational;
profile03;profile03-20;conspiracy;awakening;770;text on decoration;17.3k;-;
profile03;profile03-21;conspiracy;no vax;1330;text on decoration;17.3k;-;
profile03;profile03-22;conspiracy;no vax;193;video;17.3k;-;
profile03;profile03-23;conspiracy;awakening;1028;text on decoration ;17.3k;-;
profile03;profile03-24;conspiracy;no vax;1580;text on decoration ;17.3k;-;
profile03;profile03-25;conspiracy;no vax;541;text on image;17.3k;-;
profile03;profile03-26;conspiracy;no vax;647;text on color;17.3k;-;
profile03;profile03-27;conspiracy;no vax;1055;text on decoration ;17.3k;-;
profile03;profile03-28;conspiracy;no vax;911;text on color;17.3k;-;
profile03;profile03-29;conspiracy;awakening;1076;text on decoration;17.3k;-;
profile03;profile03-30;others;-;951;text on decoration;17.3k;informative;
profile04;profile04-1;others;-;3679;foto;20.4k;patriotic;
profile04;profile04-2;others;-;3164;text on pattern ;20.4k;patriotic;
profile04;profile04-3;others;-;1435;foto;20.4k;personal;
