categories,skill,Spain,Mexico,Turkey,Japan,India,China,United Kingdom,Australia,South africa,Russia,Netherlands,United States,New Zealand,Malaysia,Brazil,Philippines,Portugal,India(10),Canada(4),German(10),Indonesia(4),Ireland(8),Nigeria(0),France,Singapore,Holy See,Spain,Iran
thinking,problem-solving skills,,,1,,2,5,5,,2,,,,,,,3,,2,,,1,1,,3,,,,
thinking,critical-thinking,,,,,,,3,,,,,,,,,,,,,,,,,,4,,,
thinking,Demonstrated systematic thought,, ,,,,,3,,,,,,,,,,,,,,,,,,,,,
thinking,Creativity,,,,,2,,,,1,2,,,,,,,,2,,,1,,,3,,,,
thinking,logical thinking,,,,,,5,,,,,,,,,,,,,,,,,,,,,,
thinking,Strategic thinking,,,,,,,,,,1,,,,,,4,,,,,,,,,4,,,
mangement,mangement,,,,2,8,2,1,,2,,,8,,,,,,,,,1,1,,,3,,,
mangement,Relationship management,,,,,,,1,,,,,,,,,,,1,,,,,,,,,,
mangement,organizational skills,,,,,,,,,2,,,2,,,,,,,,,,,,,,,,
mangement,Customer relationship management,,,,,,,,,,2,,,,,,,,,,,,,,3,,,,
mangement,regulatory,,,,,,,,,,,,,,9,,,,,,,,,,,,,,
mangement,Brand management,,,,,,,,,,1,,,,,,,8,,,,,,,,,,,
knowledge,knowledge about current events,,,,,1,10,,,,,,,,,,,,,,,,,,,,,,
knowledge,knowledge about ACG,,,,,,2,,,,,,,,,,,,,,,,,,,,,,
knowledge,alert to politically sensitive issues,,,,,,8,,,,,,,,,,,,,,,,,,,,,,
knowledge,Knowledge of industry best practices,1,,,3,,3,,1,,,,,,,,,,,4,8,,,,3,,,,
knowledge,law knowledge ,,,,,2,8,,,,,,1,,,,,,,,,,,,,,,,
knowledge,Culture,,,,,1,,,,,,,,,,,4,,,4,2,,4,,,,,,
design,process design,,,,,,,1,,,,,,,,,,,,,,,,,,,,,
design, design editing,,,,,,,,2,,,,5,,,,,,,,,,,,,,,,
design,photography,,,,,,,,1,,,,,,,,,,,,,,,,,,,,
design,web design,,,,,1,,,1,,1,,2,,,,2,,,,,,,,2,,,,
design,Photoshop,,,,,,2,,,,2,,,,,,1,,,,,,,,,,,,
computer ,data analysis,,,,1,5,3,1,,2,3,,9,,12,1,,,2,,,2,,,,2,,,
computer ,technical or customer support,,,,1,5,,1,,,,,,,,,1,,,,,,,,,,,,
computer ,MS Office/basic pc skills,,,1,5,2,14,,,1,4,,9,,,,4,,5,,,1,,,3,4,,,
computer ,Code skill,,,,,1,,,,,1,,6,,,,,,,,,,,,,,,,
communication,language,2,1,1,2,14,6,4,1,4,1,,9,,16,2,6,8,3,4,10,1,9,,2,2,,,
communication,Writing/Copywriting,,,1,2,9,7,1,,,2,,,,6,,5,,,,,,1,,3,4,,,
communication,presentation skill,,,,,,,,1,,4,,1,,,,,,,4,,,,,1,1,,,
communication,text edting,,,,,2,,1,,,2,,1,,2,,,,2,,,,,,3,4,,,
communication,communication skill/Literacy,,,1,1,14,23,2,1,3,6,,21,,,1,2,8,4,4,,1,3,,3,4,,,
communication,Business communication,,,,,,,,,,3,,,,,,1,,,,,,,,2,,,,
communication,Internal communications,,,,,,,,,,1,,,,,,,,,,,,1,,2,,,,
others,attention to detai,,,,,4,7,3,1,1,2,,2,,,1,4,,,,,,5,,,,,,
others,Negotiating skills,,,,,,,1,,,,,,,,,2,7,,,,,,,,,,,
others,customer focus skills,,,,,,1,1,,,,,,,,,,,,,,,,,3,,,,
others,multi-tasking skill,,,,1,2,,,,1,,,1,,,,2,,,,,,,,2,,,,
others,Consulting,,,,,,,,,1,2,,1,,,,,,,,,,,,,,,,
others,Teamwork,,,1,,3,17,,,,4,,1,,8,1,3,8,,,8,,,,3,4,,,
others,passport,,,,,,,,,,,,,,,,2,1,,,,,,,,,,,
others,respensibility,,,,,,15,,,,,,,,,,,,,,,,,,,,,,
