,,,,,,,,,,,,,,,,,,,,,,,,,,
Disclaimer,india,china,uk,aus,south africa,Russia,america,Malysia,Brazil,Philippines,Portugal,India(10),Canada(4),German(10),Indonesia(4),Ireland(8),Turkey(0),Nigeria(0),China,France,Singapore,Holy See,Spain,Iran,Mexico,Total
none,29,36,4,2,3,16,17,16,,5,1,10,,10,3,7,,,10,2,2,,,,,173
pressured  environment,1,12,3,,,,1,,1,1,,,,,,,,,,,,,,,,19
sensitive,,,3,,2,,2,,,,7,,,,,1,,,,1,1,,,,,17
Harassing,,,,1,,,,,,,,,,,,,,,,,,,,,,1
stress,,,,,,1,,,,,,,,,,,,,,,1,,,,,2
invasive,,,,,,,2,,,,,,,,,,,,,,,,,,,2
inappropriate,,,,,,,1,,,,,,,,,,,,,,,,,,,1
aggressive,,,,,,,1,,,,,,,,,,,,,,,,,,,1
offensive,,,,,,,1,,,,,,4,,,,,,,,,,,,,5
urgency,,,,,,,2,,,,,,,,,,,,,,,,,,,2
potentially unpleasant,,,,,,,1,,,,,,,,,,,,,,,,,,,1
disturbing,,,,,,,,,,1,,,,,,,,,,,,,,,,1
disruptive,,,,,,,2,,,,,,,,,,,,,,,,,,,2
debatable,,,,,,,1,,,,,,,,,,,,,,,,,,,1
violence,1,1,,,,,1,,,1,7,,,,,,,,,,,,,,,11
child exploitation/abuse,2,,,,,,,,,2,,,,,,,,,,,,,,,,4
Anima Torture,,,,,,,,,,2,,,,,,,,,,,,,,,,2
Gang violence,,,,,,,,,,2,,,,,,,,,,,,,,,,2
Murder,,,,,,,,,,2,,,,,,,,,,,,,,,,2
Hate Speech,4,,,,,,,,,2,,,,,,,,,,,,,,,,6
Pornographic,1,,,,,,,,,1,7,,,,,,,,,,,,,,,9
abhorrent,,,,,,,,,,,,,4,,,,,,,,,,,,,4
explicit,1,,,,,,,,,,,,4,,,,,,,,,,,,,5
illegal,,,,,,,,,,,,,,,1,,,,,,,,,,,1
suicidal,5,,,,,,,,,,,,,,,,,,,,,,,,,5
nudity,4,,,,,,,,,,,,,,,,,,,,,,,,,4
bloodshed,1,,,,,,,,,,,,,,,,,,,,,,,,,1
Terrorism,1,,,,,,,,,,,,,,,,,,,,,,,,,1
Possibility to choose a personal psychologist,,,,,,1,,,,,,,,,,,,,,,,,,,,1
Mental health concerns,,,,,,,,,,2,,,,,,,,,,,,,,,,2
24hours mental healrh support,,,1,,,,,,,,,,,,,,,,,,,,,,,1
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,289
