N,UserType,User,Post,mentioned,likeCount,commentCount,repostCount,popularity,popSum
1,individual,Mike Cernovich,"Facebook Content Moderator: ""If Someone's Wearing MAGA Hat, I'm Going to Delete Them for Terrorism""",Facebook,5547,1365,4274,6912,30920
2,individual,Mark Levin,Facebook exposed,Facebook,6192,450,4210,6642,
3,,Project Veritas,"BREAKING: Facebook Insider Zach McElroy records colleagues Anti-Trump content moderation practices; prepared to testify over Facebook's inherent political bias.
“If someone is wearing a MAGA hat I'm going to delete them for terrorism” – Lara Kontakos, Facebook Content Moderator
#ExposeFacebook",Facebook,3150,352,4872,3502,
4,,Project Veritas,"#EXPOSEFACEBOOK
BREAKING: Facebook Insider Zach McElroy records colleagues Anti-Trump content moderation practices; prepared to testify over Facebook's inherent political bias.",Facebook,3150,352,,3502,
5,,One America News Network,"“From her cubicle in Facebook’s Silicon Valley offices, Ms. Scola witnessed thousands of acts of extreme and graphic violence,” the suit alleges.",Facebook,1764,142,661,1906,
6,,funk and Y-Kollektiv,"Content Moderator*innen filtern brutale Inhalte aus Sozialen Netzwerken heraus, damit wir sie nicht sehen müssen. Von Tierquälerei bis Missbrauch - sie müssen sich alles anschauen und dürfen niemandem etwas darüber erzählen. Wie hält man das aus?",Youtube Tiktok Facebook,915,216,,1131,
7,,Lights Out with David Spade,YouTube Content Moderators Have Seen Some Sh*t,Youtube,644,22,,666,
8,individual,Kathy Griffin,"See if you can make it through the whole piece. Prepare to have your mind blown.
https://www.theverge.com/2019/2/25/18229714/cognizant-facebook-content-moderator-interviews-trauma-working-conditions-arizona",Facebook,450,72,196,522,
9,,Bloomberg,"Rep. Katie Porter challenges Mark Zuckerberg to work as a content moderator and view the same often graphic, disturbing videos Facebook contractors do. 
He said it wouldn't ""best serve"" the company and community. https://bloom.bg/2oe5AVB",Facebook,388,102,95,490,
10,,Bloomberg,Mark Zuckerberg Declines to Work As a Content Moderator For,Facebook,388,102,,490,
11,,Gateway Pundit,"A former Facebook content moderator has sued the social network, alleging that she suffers from psychological trauma as a result of her job.",Facebook,344,48,349,392,
12,,The Wall Street Journal,Being a content moderator for Facebook means looking at the worst of humanity.,Facebook,348,41,84,389,
13,,Al Jazeera English,Undercover at a Facebook content moderation centre,Facebook,315,57,,372,
14,,Forbes,"A former Facebook moderator is suing the company, claiming that the images she was expected to review on the site have given her post-traumatic stress disorder.",Facebook,244,116,42,360,
15,,University of Oxford,"Who does the psychologically taxing task of sorting through gruesome social media imagery fall upon? 📷
Increasingly, poorly-paid Indian college graduates. Read more on the Oxford Internet Institute blog: http://po.st/5mdh4V",not mention,288,26,23,314,
16,,The Intercept,"Even as Facebook staff work from home, the content moderators were forced to return to the office amid pandemic fears.",Facebook,176,86,24,262,
17,,VICE,Can you even imagine what this job must be like?,Facebook,163,91,61,254,
18,,GMA News,"Content moderators, nakaranas ng traumatic stress",Facebook Twitter Instgram,230,15,,245,
19,individual,Gizmodo,"A former Facebook content moderator has sued the social network, alleging that she suffers from psychological trauma as a result of her job.",Facebook,150,61,57,211,
20,,State of the Nation with Jessica Soho,"Ilang content moderators ng social networking sites, nakakaranas ng traumatic stress
GMA News investigates, nabibigyan nga ba ng sapat na psychological support at proteksyon ang mga content moderator laban sa mental health problems?",Facebook Twitter Instgram,160,16,,176,
21,,RT,You see death every day': Ex-Facebook content moderator sues tech giant for PTSD,Facebook,145,29,,174,
22,,Los Angeles Times,"“From her cubicle in Facebook’s Silicon Valley offices, Ms. Scola witnessed thousands of acts of extreme and graphic violence,” the suit alleges.",Facebook,112,57,40,169,
23,,Ars Technica,"A Facebook content moderator named Selena Scola has sued the social media giant, claiming that repeated exposure to graphic and disturbing images has given her post-traumatic stress disorder.",Facebook,117,49,37,166,
